,factors,MIC,GMIC,TIC,symbol,thresh,factor_type
81,trend_kst_diff,0.2759055623574436,0.1960553626311702,0.1627095445547238,ADA,0.4999999999999998,technical
82,momentum_stoch_rsi_k,0.3515396159974509,0.2287049066176875,0.1721791668437385,ADA,0.4999999999999998,technical
83,weekday,0.157529198133605,0.0763425843959815,0.0416749460703783,ADA,0.4999999999999998,technical
84,distil_love_sum_hot,0.3835545789977229,0.3063508987707319,0.2532212203123755,ADA,0.4999999999999998,sentiment
85,trend_adx,0.3472515513940002,0.2748073045247495,0.2122625295560951,ADA,0.4999999999999998,technical
86,distil_anger_sum_pop,0.3815878471831042,0.294876450750917,0.2452035065224169,ADA,0.4999999999999998,sentiment
87,distil_fear_sum_hot,0.3925698340533743,0.3093721898543243,0.2501166468959762,ADA,0.4999999999999998,sentiment
88,distil_anger_mean_hot,0.3421278581888226,0.2580664493165749,0.1841603244029853,ADA,0.4999999999999998,sentiment
89,vader_pos_mean_hot,0.3447542266643972,0.2673944785842643,0.2457106002418637,ADA,0.4999999999999998,sentiment
90,anger_vs_sadness_mean_pop,0.3580856869709301,0.2642370194421983,0.2062493254476214,ADA,0.4999999999999998,technical
91,volatility_bbli,0.1664882109454759,0.0791876900369527,0.0530460931939177,ADA,0.4999999999999998,technical
92,volatility_kcli,0.1561592712732922,0.0798820879048401,0.0517664730569122,ADA,0.4999999999999998,technical
93,distil_fear_wt_sum_hot,0.3781566488111914,0.3006154946244831,0.23632262426584,ADA,0.4999999999999998,sentiment
94,roberta_Negative_wt_sum_hot,0.4054254348805333,0.319149375781975,0.227984973480369,ADA,0.4999999999999998,sentiment
95,vader_neg_wt_sum,0.0,0.0,0.0,ADA,0.4999999999999998,sentiment
96,momentum_stoch,0.2837547297262476,0.1908108276422207,0.142904465235795,ADA,0.4999999999999998,technical
97,distil_fear_mean_pop,0.4296049239483969,0.347991798726045,0.2370293699739652,ADA,0.4999999999999998,sentiment
98,roberta_Negative_mean,0.3584412214838285,0.2836452952601644,0.2094970097135937,ADA,0.4999999999999998,sentiment
99,distil_surprise_wt_sum_hot,0.4043496772374108,0.3194480003905138,0.2305445677072923,ADA,0.4999999999999998,sentiment
100,volume_obv,0.44405401664605,0.3717945112115826,0.3166226411992503,ADA,0.4999999999999998,technical
101,roberta_Negative_wt_sum,0.3639023884178818,0.2850349127306075,0.2020645162578226,ADA,0.4999999999999998,sentiment
102,joy_vs_fear_mean_pop,0.4418482967487973,0.3681013158486041,0.2926068462964752,ADA,0.4999999999999998,technical
103,roberta_Neutral_sum,0.3714933839938313,0.2954096471849796,0.2441349432061667,ADA,0.4999999999999998,sentiment
104,close,0.4697875335754223,0.4069801500344205,0.3543297732561818,ADA,0.4999999999999998,fundamental
